route_id,agency_id,route_short_name,route_long_name,route_type,route_desc
9011005000200000,55700000000001407,2,,900,Spårvagn
9011005000300000,55700000000001407,3,,900,Spårvagn
9011005003000000,55700000000001407,30,,700,
9011005003900000,55700000000001407,39,,700,
9011005004000000,55700000000001407,40,,700,
9011005004600000,55700000000001407,46,,700,
9011005005000000,55700000000001407,50,,700,
9011005005200000,55700000000001407,52,,700,
9011005006500000,55700000000001407,65,,700,
9011005006800000,55700000000001407,68,,700,
9011005007000000,55700000000001407,70,,700,
9011005007100000,55700000000001407,71,,700,
9011005007200000,55700000000001407,72,,700,
9011005007400000,55700000000001407,74,,700,
9011005007500000,55700000000001407,75,,700,
9011005008100000,55700000000001407,81,Östgötapendeln,100,Östgötapendeln
9011005008300000,55700000000001407,Krösatåg,,100,
9011005008400000,55700000000001407,84,Krösatåg,100,
9011005008600000,55700000000001407,Mälartåg,,100,
9011005008700000,55700000000001407,87,Mälartåg,100,
9011005011000000,55700000000001407,10,,700,
9011005011100000,55700000000001407,11,,700,
9011005011200000,55700000000001407,12,,700,
9011005011300000,55700000000001407,13,,700,
9011005012100000,55700000000001407,21,,700,
9011005012900000,55700000000001407,129,,1501,
9011005014100000,55700000000001407,141,,700,
9011005018100000,55700000000001407,181,,700,
9011005018200000,55700000000001407,182,,700,
9011005018500000,55700000000001407,185,Krösabuss,700,
9011005019000000,55700000000001407,190,Stadsdelsbuss Haga området,700,
9011005019100000,55700000000001407,191,Stadsdelsbuss Hageby/Vilbergen,700,
9011005020100000,55700000000001407,1,,700,
9011005020200000,55700000000001407,2,,700,
9011005020300000,55700000000001407,3,,700,
9011005020400000,55700000000001407,4,,700,
9011005020500000,55700000000001407,5,,700,
9011005020600000,55700000000001407,6,,700,
9011005021000000,55700000000001407,10,,700,
9011005021100000,55700000000001407,11,,700,
9011005021200000,55700000000001407,12,,700,
9011005021300000,55700000000001407,13,,700,
9011005021400000,55700000000001407,14,,700,
9011005021500000,55700000000001407,15,,700,
9011005021600000,55700000000001407,16,,700,
9011005021700000,55700000000001407,17,,700,
9011005021800000,55700000000001407,18,,700,
9011005022000000,55700000000001407,20,,700,
9011005022100000,55700000000001407,21,,700,
9011005022200000,55700000000001407,22,,700,
9011005022600000,55700000000001407,26,,700,
9011005023200000,55700000000001407,232,,700,
9011005024000000,55700000000001407,240,,700,
9011005024100000,55700000000001407,241,,700,
9011005024300000,55700000000001407,243,,700,
9011005024900000,55700000000001407,249,,700,
9011005025000000,55700000000001407,250,,700,
9011005028700000,55700000000001407,287,,700,
9011005029000000,55700000000001407,290,Servicelinje Kisa,700,
9011005030100000,55700000000001407,301,,700,
9011005030200000,55700000000001407,302,,700,
9011005030300000,55700000000001407,303,,700,
9011005030400000,55700000000001407,304,,700,
9011005030500000,55700000000001407,305,,700,
9011005031200000,55700000000001407,312,Anropsstyrd Stadstrafik Motala,700,
9011005035500000,55700000000001407,355,,700,
9011005035700000,55700000000001407,357,Servicelinje Mjölby,700,
9011005041000000,55700000000001407,410,,700,
9011005041200000,55700000000001407,412,,700,
9011005041400000,55700000000001407,414,,700,
9011005041500000,55700000000001407,415,,700,
9011005041600000,55700000000001407,416,,700,
9011005041700000,55700000000001407,417,,700,
9011005042000000,55700000000001407,420,,700,
9011005042100000,55700000000001407,421,,700,
9011005042900000,55700000000001407,429,,700,
9011005044000000,55700000000001407,440,,700,
9011005044400000,55700000000001407,444,,700,
9011005045000000,55700000000001407,450,,700,
9011005045200000,55700000000001407,452,,700,
9011005046000000,55700000000001407,460,,700,
9011005046400000,55700000000001407,464,,700,
9011005047000000,55700000000001407,470,,700,
9011005047100000,55700000000001407,471,,700,
9011005048000000,55700000000001407,480,,700,
9011005048200000,55700000000001407,482,,700,
9011005048400000,55700000000001407,484,,700,
9011005048600000,55700000000001407,486,,700,
9011005051300000,55700000000001407,513,,700,
9011005052000000,55700000000001407,520,,700,
9011005052100000,55700000000001407,521,,700,
9011005052200000,55700000000001407,522,,700,
9011005052600000,55700000000001407,526,,700,
9011005053000000,55700000000001407,530,,700,
9011005053500000,55700000000001407,535,,700,
9011005053800000,55700000000001407,538,,700,
9011005053900000,55700000000001407,539,,700,
9011005054000000,55700000000001407,540,,700,
9011005054300000,55700000000001407,543,,700,
9011005054500000,55700000000001407,545,,700,
9011005054600000,55700000000001407,546,,700,
9011005055200000,55700000000001407,552,,700,
9011005055500000,55700000000001407,555,,700,
9011005056600000,55700000000001407,566,,700,
9011005057100000,55700000000001407,571,,700,
9011005057200000,55700000000001407,572,,700,
9011005057300000,55700000000001407,573,,700,
9011005057400000,55700000000001407,574,,700,
9011005057700000,55700000000001407,577,,700,
9011005061200000,55700000000001407,612,,700,
9011005061300000,55700000000001407,613,,700,
9011005061400000,55700000000001407,614,,700,
9011005061500000,55700000000001407,615,,700,
9011005061700000,55700000000001407,617,,700,
9011005062000000,55700000000001407,620,,700,
9011005062300000,55700000000001407,623,,700,
9011005062800000,55700000000001407,628,,700,
9011005063000000,55700000000001407,630,,700,
9011005063100000,55700000000001407,631,,700,
9011005065500000,55700000000001407,655,,700,
9011005066100000,55700000000001407,661,,700,
9011005067000000,55700000000001407,670,,700,
9011005067100000,55700000000001407,671,Anropsstyrd linje,700,
9011005068000000,55700000000001407,680,,700,
9011005077500000,55700000000001407,775,Skärgårdstrafik,1000,
9011005090100000,55700000000001407,901,Skolskjuts,700,
9011005090200000,55700000000001407,902,Skolskjuts,700,
9011005090300000,55700000000001407,903,Skolskjuts,700,
9011005092700000,55700000000001407,927,Skolbuss,700,
